學年度	階段	學號	宿舍	房號						第一志願	870
105	第一志願	413302	七宿舍	102						第二志願	212
105	第一志願	413305	七宿舍	102						第三志願	131
105	第一志願	413329	七宿舍	102						第四志願	11
105	第一志願	413359	七宿舍	102							
105	第一志願	219008	七宿舍	110							
105	第一志願	419021	七宿舍	110							
105	第一志願	419034	七宿舍	110							
105	第一志願	419045	七宿舍	110							
105	第一志願	413106	七宿舍	111							
105	第一志願	413114	七宿舍	111							
105	第一志願	413118	七宿舍	111							
105	第一志願	413130	七宿舍	111							
105	第一志願	312533	七宿舍	113							
105	第一志願	312534	七宿舍	113							
105	第一志願	312537	七宿舍	113							
105	第一志願	312538	七宿舍	113							
105	第一志願	411006	七宿舍	114							
105	第一志願	411060	七宿舍	114							
105	第一志願	411091	七宿舍	114							
105	第一志願	411106	七宿舍	114							
105	第一志願	411082	七宿舍	115							
105	第一志願	413327	七宿舍	115							
105	第一志願	413338	七宿舍	115							
105	第一志願	413353	七宿舍	115							
105	第一志願	212209	七宿舍	116							
105	第一志願	212211	七宿舍	116							
105	第一志願	212231	七宿舍	116							
105	第一志願	212253	七宿舍	116							
105	第一志願	413410	七宿舍	119							
105	第一志願	413423	七宿舍	119							
105	第一志願	413454	七宿舍	119							
105	第一志願	413470	七宿舍	119							
105	第一志願	411001	七宿舍	120							
105	第一志願	411003	七宿舍	120							
105	第一志願	411059	七宿舍	120							
105	第一志願	411079	七宿舍	120							
105	第一志願	217007	七宿舍	124							
105	第一志願	217026	七宿舍	124							
105	第一志願	217045	七宿舍	124							
105	第一志願	217047	七宿舍	124							
105	第一志願	212215	七宿舍	202							
105	第一志願	212221	七宿舍	202							
105	第一志願	212239	七宿舍	202							
105	第一志願	212245	七宿舍	202							
105	第一志願	411013	七宿舍	203							
105	第一志願	411015	七宿舍	203							
105	第一志願	411075	七宿舍	203							
105	第一志願	411090	七宿舍	203							
105	第一志願	211118	七宿舍	205							
105	第一志願	211304	七宿舍	205							
105	第一志願	211306	七宿舍	205							
105	第一志願	212264	七宿舍	205							
105	第一志願	413116	七宿舍	207							
105	第一志願	413129	七宿舍	207							
105	第一志願	413138	七宿舍	207							
105	第一志願	413140	七宿舍	207							
105	第一志願	410755	八宿舍	102							
105	第一志願	410820	八宿舍	102							
105	第一志願	410832	八宿舍	102							
105	第一志願	410844	八宿舍	102							
105	第一志願	410735	八宿舍	103							
105	第一志願	410752	八宿舍	103							
105	第一志願	410794	八宿舍	103							
105	第一志願	410800	八宿舍	103							
105	第一志願	211020	八宿舍	104							
105	第一志願	211024	八宿舍	104							
105	第一志願	211067	八宿舍	104							
105	第一志願	211077	八宿舍	104							
105	第一志願	213129	八宿舍	105							
105	第一志願	315355	八宿舍	105							
105	第一志願	319012	八宿舍	105							
105	第一志願	319036	八宿舍	105							
105	第一志願	311077	八宿舍	106							
105	第一志願	411020	八宿舍	106							
105	第一志願	411031	八宿舍	106							
105	第一志願	411092	八宿舍	106							
105	第一志願	411047	八宿舍	107							
105	第一志願	411053	八宿舍	107							
105	第一志願	413411	八宿舍	107							
105	第一志願	413458	八宿舍	107							
105	第一志願	411062	八宿舍	109							
105	第一志願	411089	八宿舍	109							
105	第一志願	411098	八宿舍	109							
105	第一志願	411111	八宿舍	109							
105	第一志願	311214	八宿舍	110							
105	第一志願	311223	八宿舍	110							
105	第一志願	311250	八宿舍	110							
105	第一志願	311270	八宿舍	110							
105	第一志願	213454	八宿舍	111							
105	第一志願	313423	八宿舍	111							
105	第一志願	313424	八宿舍	111							
105	第一志願	313425	八宿舍	111							
105	第一志願	411028	八宿舍	113							
105	第一志願	411048	八宿舍	113							
105	第一志願	411050	八宿舍	113							
105	第一志願	411102	八宿舍	113							
105	第一志願	412117	八宿舍	117							
105	第一志願	413123	八宿舍	117							
105	第一志願	415323	八宿舍	117							
105	第一志願	415350	八宿舍	117							
105	第一志願	210748	八宿舍	119							
105	第一志願	210831	八宿舍	119							
105	第一志願	210833	八宿舍	119							
