學年度,階段,學號,宿舍,房號,是否確認
101,不明,0080013,不明,不明,不明
101,未保留原寢,0057003,博愛二舍,102,
101,保留原寢,0057116,博愛二舍,102,
101,保留原寢,9735804,博愛二舍,104,
101,未保留原寢,0057013,博愛二舍,105,
101,保留原寢,9949507,博愛二舍,105,
101,保留原寢,9913643,博愛二舍,110,
101,保留原寢,9513639,博愛二舍,110,
101,保留原寢,0053807,博愛二舍,120,未確認申請
101,保留原寢,0056702,博愛二舍,120,
101,未保留原寢,0051032,博愛二舍,121,
101,保留原寢,0051039,博愛二舍,121,
101,保留原寢,0057020,博愛二舍,123,
101,未保留原寢,0057106,博愛二舍,123,
101,保留原寢,9628805,博愛二舍,203,
101,保留原寢,0080107,博愛二舍,206,
101,保留原寢,0052508,博愛二舍,207,
101,保留原寢,0057109,博愛二舍,207,
101,保留原寢,0087202,博愛二舍,209,
101,保留原寢,9828801,博愛二舍,214,
101,保留原寢,0057001,博愛二舍,215,
101,未保留原寢,0057007,博愛二舍,215,
101,保留原寢,9728805,博愛二舍,217,
101,保留原寢,0052009,博愛二舍,302,
101,保留原寢,0059103,博愛二舍,302,
101,保留原寢,9924804,博愛二舍,304,
101,保留原寢,9942806,博愛二舍,309,
101,保留原寢,0057206,博愛二舍,311,
101,保留原寢,0057209,博愛二舍,311,
101,保留原寢,0051719,博愛二舍,314,
101,保留原寢,9859501,博愛二舍,314,
101,保留原寢,9934530,博愛二舍,315,
101,保留原寢,9818810,博愛二舍,315,
101,保留原寢,9718802,博愛二舍,317,
101,保留原寢,0060062,博愛二舍,317,
101,保留原寢,9929515,博愛二舍,321,
101,保留原寢,9848801,博愛二舍,321,
101,保留原寢,9512824,四宿舍,101,
101,保留原寢,9612822,四宿舍,101,
101,保留原寢,9718832,四宿舍,103,
101,保留原寢,9925829,四宿舍,105,
101,保留原寢,9811543,四宿舍,105,
101,保留原寢,0087204,四宿舍,106,
101,保留原寢,9951802,四宿舍,107,
101,保留原寢,9613562,四宿舍,107,
101,保留原寢,9651807,四宿舍,108,
101,保留原寢,9955818,四宿舍,110,
101,保留原寢,9811555,四宿舍,112,
101,保留原寢,0089604,四宿舍,113,
101,保留原寢,0089605,四宿舍,113,
101,保留原寢,9829803,四宿舍,114,
101,保留原寢,0080009,四宿舍,115,
101,保留原寢,9728510,四宿舍,115,
101,保留原寢,9852805,四宿舍,116,
101,保留原寢,9912816,四宿舍,120,
101,保留原寢,9955843,四宿舍,202,
101,保留原寢,9529512,四宿舍,203,
101,保留原寢,9951804,四宿舍,203,
101,保留原寢,9528801,四宿舍,205,
101,保留原寢,9851507,四宿舍,205,
101,保留原寢,9713548,四宿舍,206,
101,保留原寢,9713550,四宿舍,206,
101,保留原寢,9711812,四宿舍,207,
101,保留原寢,9816808,四宿舍,209,
101,保留原寢,9751811,四宿舍,210,
101,保留原寢,9551805,四宿舍,210,
101,保留原寢,9824520,四宿舍,212,
101,保留原寢,9711808,四宿舍,212,
101,保留原寢,9851811,四宿舍,213,
101,保留原寢,9655828,四宿舍,213,
101,保留原寢,9924819,四宿舍,214,
101,保留原寢,9651502,四宿舍,214,
101,保留原寢,9912820,四宿舍,216,
101,保留原寢,9912802,四宿舍,216,
101,保留原寢,9814804,四宿舍,218,
101,保留原寢,9812821,四宿舍,219,
101,保留原寢,9619802,四宿舍,221,
101,保留原寢,9851807,四宿舍,221,
101,保留原寢,9855866,四宿舍,222,
101,保留原寢,9627805,四宿舍,224,
101,保留原寢,9855811,四宿舍,301,
101,保留原寢,9855837,四宿舍,301,
101,保留原寢,9818812,四宿舍,303,
101,保留原寢,9718811,四宿舍,303,
101,保留原寢,9323601,四宿舍,304,
101,保留原寢,9514826,四宿舍,305,
101,保留原寢,9914819,四宿舍,305,
101,保留原寢,9751813,四宿舍,306,
101,保留原寢,9724806,四宿舍,308,
101,保留原寢,9728807,四宿舍,311,
101,保留原寢,9911810,四宿舍,312,
101,保留原寢,9611815,四宿舍,312,
101,保留原寢,9955804,四宿舍,313,
101,保留原寢,9911836,四宿舍,313,
101,保留原寢,9932803,四宿舍,314,
101,保留原寢,9728809,四宿舍,314,
101,保留原寢,9955816,四宿舍,315,
101,保留原寢,9812822,四宿舍,317,
101,保留原寢,9812815,四宿舍,317,
101,保留原寢,9811845,四宿舍,321,
101,保留原寢,0051502,六宿舍,109,
101,未保留原寢,0051522,六宿舍,109,
101,保留原寢,0051528,六宿舍,109,
101,未保留原寢,0051613,六宿舍,109,
101,保留原寢,0056060,六宿舍,130,
101,未保留原寢,0056129,六宿舍,130,
101,保留原寢,0056130,六宿舍,130,
101,未保留原寢,0056542,六宿舍,130,
101,保留原寢,0050242,六宿舍,418,未確認申請
101,保留原寢,0050561,六宿舍,418,未確認申請
101,保留原寢,0051911,六宿舍,418,
101,保留原寢,9913637,六宿舍,418,
101,保留原寢,9923174,七宿舍,108,
101,保留原寢,9923182,七宿舍,108,
101,保留原寢,9923184,七宿舍,108,
101,保留原寢,9923186,七宿舍,108,
101,未保留原寢,9821114,七宿舍,110,
101,保留原寢,9911011,七宿舍,110,
101,保留原寢,9911044,七宿舍,110,
101,保留原寢,9911070,七宿舍,110,
101,未保留原寢,9811001,七宿舍,113,
101,保留原寢,9811003,七宿舍,113,
101,保留原寢,9811043,七宿舍,113,
101,保留原寢,9811065,七宿舍,113,
101,保留原寢,9817014,七宿舍,114,
101,保留原寢,9817020,七宿舍,114,
101,未保留原寢,9817063,七宿舍,114,
101,保留原寢,9817066,七宿舍,114,
101,保留原寢,9814020,七宿舍,115,
101,保留原寢,9814066,七宿舍,115,
101,保留原寢,9814079,七宿舍,115,
101,保留原寢,9817172,七宿舍,115,
101,保留原寢,9817006,七宿舍,117,
101,保留原寢,9817054,七宿舍,117,
101,保留原寢,9817085,七宿舍,117,
101,未保留原寢,9854036,七宿舍,117,
101,保留原寢,9822017,七宿舍,118,
101,保留原寢,9822018,七宿舍,118,
101,保留原寢,9822027,七宿舍,118,
101,保留原寢,9822050,七宿舍,118,
101,未保留原寢,9817016,七宿舍,120,
101,保留原寢,9817022,七宿舍,120,
101,保留原寢,9817033,七宿舍,120,
101,未保留原寢,9817040,七宿舍,120,
101,保留原寢,9822013,七宿舍,121,
101,保留原寢,9822034,七宿舍,121,
101,保留原寢,9822042,七宿舍,121,
101,保留原寢,9822048,七宿舍,121,
101,保留原寢,9713083,七宿舍,126,
101,未保留原寢,9923025,七宿舍,126,
101,保留原寢,9923141,七宿舍,126,
101,未保留原寢,9923154,七宿舍,126,
101,保留原寢,9917067,七宿舍,127,
101,保留原寢,9917068,七宿舍,127,
101,保留原寢,9917153,七宿舍,127,
101,保留原寢,9917276,七宿舍,127,
101,保留原寢,9711050,七宿舍,129,
101,保留原寢,9811008,七宿舍,129,
101,未保留原寢,9811011,七宿舍,129,
101,保留原寢,9822002,七宿舍,129,
101,保留原寢,9814018,七宿舍,201,
101,保留原寢,9814027,七宿舍,201,
101,未保留原寢,9814056,七宿舍,201,
101,未保留原寢,9814075,七宿舍,201,
101,保留原寢,9814012,七宿舍,204,
101,保留原寢,9814058,七宿舍,204,
